Name,Origin,Facility or Veteran Use,Description,Item Number,Price,Vendor,Vendor link,DUNS #,Shipping Estimate,Meet the Intrapreneur,Innovators,slug,Video URL,Video Caption
Atlas Knee Supporter,Spark-Seed-Spread,FACILITY USE,"The Atlas Knee Supporter was designed as a supportive device to immobilize Veterans and provide comfort during an otherwise challenging knee pain management procedures. It could, however, be used for any similar procedure where a Veteran needs to be secured and stable. The device comes in two sizes for different size legs and supports comfortably from the hip to the ankle.",Coming soon! (001),Coming soon!,Harbor Designs and Manufacturing,https://www.harbordesigns.net/,01-007-5243,This product was just licensed and is expected to ramp-up production in the fall. Shipments are expected to begin in 2024.,"""I really felt bad for the patient and knew there had to be a way to streamline the procedure while giving comfort to the Veteran. With the very first trial the patient loved it and wanted to take it home!! Throughout the prototyping phase I had such an adrenaline rush from any design changed needed. Since 2021, the need to reschedule patients is at ZERO, and knee procedure time has been reduced by 15 minutes. Previously, 20% of patients were rescheduled due to pain, inability to hold still, or needing sedation. The benefits of the supporter and the data I collected include decreased radiation exposure to patient and staff, rescheduling, use of anesthesia and procedure time. The meaning of VA Innovation to me is knowing that I have lots of support behind me. I have had many people cheering me on and giving great suggestions. VA Innovation is the way to go!!!!""

Debra (DJ) Cole
Radiologic Technologist
VA Richmond Healthcare System","Debra (DJ) Cole
Radiologic Technologist, VA Richmond Healthcare System",atlas-knee-supporter,https://www.youtube.com/watch?v=OlvQx24FHvM,"An interview with Innovator, Debra Cole at the Richmond VA Medical Center"
Cart Sweeper Attachment,Spark-Seed-Spread,FACILITY USE,"The Cart Sweeper Attachment is a simple device which attaches to the bottom of a housekeeping/janitorial cart. The device allows you to sweep the floors as the cart is pushed along its usual route throughout the hospital. This tool improves the cleanliness of the hospital environment by keeping floors clear of dust, dirt, and debris.",Coming soon! (002),Coming soon!,Harbor Designs and Manufacturing,https://www.harbordesigns.net/,01-007-5243,This product was just licensed and is expected to ramp-up production in the fall. Shipments are expected to begin in 2024.,"""We can work smarter, not harder. Developing this product opened me up to a large network and the depth of iNET support that VA offers when they bring an idea to the forefront. That was an eye-opener. It has allowed me to help others who have had similar innovations to steer them in the right direction.

VA Innovation made me realize the VA is one of the biggest innovators out there in the nation's healthcare system! We are on the forefront of many new products in our industry!""

Larry Hillson
Chief, Environmental Management Service
VA Sierra Nevada Healthcare System","Larry Hillson
Chief, Environmental Management Service, VA Sierra Nevada Healthcare System",cart-sweeper-attachment,https://www.youtube.com/watch?v=JPsrxpz-xhg,2022 VHA Innovation Experience
DropEase,Spark-Seed-Spread,Veteran use,"The DropEase device provides a stable platform for self-administering eyedrops, complete with a handle that is easy to squeeze with weak or shaky hands. The device allows users to set a metered dosage to get the proper amount of medication every time. Standard eyedrop bottles fit into the device.",Coming soon! (003),Coming soon!,Harbor Designs and Manufacturing,https://www.harbordesigns.net/,01-007-5243,This product was just licensed and is expected to ramp-up production in the fall. Shipments are expected to begin in 2024.,"""iNET makes me feel that I am being heard. More importantly, [that] the Veterans are being heard. I asked what the problem was, and then strived to find the answer; then take it back to the Vets so they can tell me how to make it better.""

Terri Ohlinger, RN
Eye Clinic Case Manager
Cincinnati VA Medical Cente","Terri Ohlinger, RN
Eye Clinic Case Manager, Cincinnati VA Medical Cente",dropease,https://www.youtube.com/watch?v=VNoU3L-ngKk,2022 VHA Innovation Experience
Prosthetic Sock Management Tool (PSMT),Spark-Seed-Spread,FACILITY USE,The Prosthetic Sock Management Tool (PSMT) is a two-part organizational system that enhances a Veteran's prosthetic experience. The PSMT aids in a Veteran's education and management of prosthetic sock use. This tool helps clinicians visually demonstrate the proper way to use prosthetic socks and better manage the health of their residual limbs.,PSMT-P119,1-100 units: $67.52 + $50.00 shipping,"Clothier Design Source",https://www.clothierdesignsource.com/psmt,02-8548173,Ships immediately upon order being placed.,"""The PSMT is important to me because I have seen that what I do has a real impact on the lives of Veterans. One Veteran who used it told me that it 'changed his life'. He 'finally' understood how to properly use his prosthetic socks and a wound he had for a long time was finally beginning to heal. He also used the accompanying infographic to explain his amputation to his grandkids. He was so appreciative.""

""Through the development of the PSMT I learned that I was not just a task do-er, but also an innovator. I saw myself in a new light and have been inspired to bring this exciting possibility of personal transformation to my VA colleagues.""

Billie Savvas Slater
Research Health Science Specialist and Innovation Specialist
Minneapolis VA Medical Center","Billie Savvas Slater
Research Health Science Specialist and Innovation Specialist, Minneapolis VA Medical Center",prosthetic-sock-management-tool-psmt,https://www.youtube.com/watch?v=lfuZ_lkVOFU,2022 VHA Innovation Experience
Rapid On-demand Connection Information Technology (ROCIT),Greenhouse,Veteran use,"ROCIT is a powerful and light-weight enterprise portable VPN internet hotspot with all the network speed required for your Veteran's Digital Divide connectivity needs. This product is great for home-based primary care, field staff, extended reality programs, TeleX programs, simulation centers, rural clinics, community-based outpatient centers, and emergency departments. The compartment conveniently doubles as a clutch bag.",HT-Case-ROCIT-XaaS,"$8,225/yr",HERMTAC,https://hermtac.com/,11-753-1993,Orders can be expected 2-4 weeks after purchase.,"Via the Greenhouse Initiative, frontline employees from VA Pittsburgh Healthcare System, participated in the co-design and user experience testing of this product.

""Unnecessary suffering or dying at-home because someone can't afford quality internet, especially when a cost-saving model of care solution is available is important to me.

Developing this product made me proud of myself again, gave me a purpose, got my fight back, and increased the ratio of salt in my hair. To me, VA innovation means pushing the entire country's care model forward and sharing it in an open-source manner for all people.""

Steven M. Handler MD, PhD, CMD
Associate Chief of Staff: Geriatrics and Extended Care (GEC)
VA Pittsburgh Health Care","Steven M. Handler MD, PhD, CMD
Associate Chief of Staff: Geriatrics and Extended Care (GEC), VA Pittsburgh Health Care",rapid-on-demand-connection-information-technology-rocit,,
The Belongings Buddy,Spark-Seed-Spread,FACILITY USE,"Patients often lose personal items while in the hospital including glasses, dentures, hearing aids, and cell phones. The Belongings Buddy is a small bag that can be attached to a bed rail with multiple, brightly colored pockets to help patients keep track of personal items.",BB-L169,See website for pricing.,"Clothier Design Source",https://www.clothierdesignsource.com/belongings-buddy,02-8548173,Ships immediately upon ordering being placed.,"""Through VA innovation we have been empowered to follow through with our idea for the 'Belongings Buddy' (a means for Veterans to have their small belongings together in one place). It has been exciting and motivating to see this idea come to fruition and to have it so greatly supported across the VHA system. Without the support of iNET innovation it is unlikely to have been developed. The support, encouragement, and networking has been an amazing experience.""

Rebecca Gallo RN and Cindie Rice MSN
Quality Management
Central Virginia VA Health Care System","Rebecca Gallo RN and Cindie Rice MSN
Quality Management, Central Virginia VA Health Care System",the-belongings-buddy,https://www.youtube.com/watch?v=CIHsyN9NX38,"An innovator with Co-Innovator, Becky Gallo"
Wareologie Portable Parallel Bars,Greenhouse,FACILITY USE,"Portable Parallel Bars bring physical therapy treatment to patients anywhere. Wareologie™ parallel bars fold in minutes, transport on wheels, and have a sturdy, 600 lb. weight capacity. The portable parallel bars are compact enough to maneuver into small spaces while providing ample area for the patient to stand, balance, practice weight-bearing, and take those first recovery steps. The Wareologie Portable Parallel Bars are classified as an FDA Class 1 Medical Device. Class 1 Medical Devices have a low to moderate risk to the patient and/or user. Common examples include electric toothbrushes, hospital beds, and non-electric wheelchairs.",201001V1,"$5,500 and $350 shipping",Wareologie,https://www.wareologie.com/product/portable-parallel-bars/,08-439-7981,Orders can be expected 2 months after purchase.,"Via the Greenhouse Initiative, physical therapists and other frontline employees from the VA Richmond Healthcare System and VA Northeast Ohio Healthcare, participated in the co-design and user experience testing of this product.

""It was an awesome experience to work with the team Wareologie to take this great idea and see it come to physical fruition! We started from scratch with an idea on a power point, discussing balancing a Physical Therapists wants vs needs, and what the patient would absolutely need in order to feel safe and secure.

It is clear that the patients needs were most important, and the engineers really worked hard to understand what the patients would need for that tactile sense of security while also addressing the operational functions and materials.

Each meeting, we were able to collaborate our clinical needs with the engineers' structural knowledge to create what we think will be an incredibly useful and versatile tool for multiple clinicians in different settings.""

Peter DiSalvo PT, DPT
PolyTrauma and Traumatic Brain Injury Rehabilitation
Central Virginia VA Health Care System","Peter DiSalvo PT, DPT
PolyTrauma and Traumatic Brain Injury Rehabilitation, Central Virginia VA Health Care System",wareologie-portable-parallel-bars,https://www.youtube.com/watch?v=LE67GyYKGB4,"An demonstration by Co-Innovator, Peter DiSalvo"
XanderGlasses,Greenhouse,Veteran use,"XanderGlasses improve communication for individuals affected by hearing loss and auditory processing disorder by using sight to augment sound. The glasses translate speech to text and project accurate real-time captions in the wearer's field of vision, allowing them to look at speakers, absorb visual cues, and refer to captions as needed. This simple, on-off device provides instant and accurate captions with or without a cloud connection.",XG01,"$4,999/unit + shipping",Xander,https://www.xanderglasses.com/,117518919,Shipments can be expected within 2 weeks of order.,"Greenhouse Initiative, VA clinicians and Veterans across multiple VA healthcare systems, including VA Pittsburgh and VA Augusta Health Care Systems, participated in discovery interviews and user experience testing of this product.

""Working with the developers of XanderGlasses has been very exciting and thoroughly enjoyable. I am a cochlear implant audiologist and realize the awesome benefit this device could have on helping hearing impaired Veterans to communicate more effectively with others.""

Maureen Wargo, Au.D., MBA
Audiology Supervisor
Pittsburgh VA Medical Center

""I am really excited about seeing this product. If it works well, it will be a game changer for a number of people. This will be like being around for the invention of the telephone; it is that huge.""

Lisa Rodgers, Au.D.
Audiologist
VA Augusta Health Care System

Maureen Wargo
Audiology Supervisor
Pittsburgh VA Medical Center","Maureen Wargo, Au.D., MBA
Audiology Supervisor, Pittsburgh VA Medical Center

Lisa Rodgers, Au.D.
Audiologist, VA Augusta Health Care System",xanderglasses,,
Hinged Bathtub Bench,Spark-Seed-Spread & Technology Transfer,Veteran use,"The benches and support legs of the most popular bathtub transfer device solutions extend beyond the width of the bathtub and do not allow the user to easily close the curtain during bathing. This results in unwanted, wasted space in the bathroom and the potential for water to escape the bathtub surrounding it.

These problems can introduce trip, slip, and fall hazards to users that already have difficulty ambulating and performing routine, daily tasks. A smaller footprint bathtub bench with a hinged transfer platform eliminates both of these issues.

The Hinged Bathtub Bench features a hinged platform that rests on the lip of the bathtub. This allows the user to transfer into and out of the bathtub, all while being able to close the curtain inside of the tub to prevent water from escaping. The bench is assembled completely within the walls of the bathtub, taking up less space outside of the tub making navigation in the bathroom much easier.",Coming Soon! (004),Coming Soon!,AliMed,https://www.alimed.com/,05-600-7248,This product was just licensed and is expected to ramp-up product in 2024.,"A Veteran told me that he was getting into the tub by sitting on the lip of the tub and swinging his legs over. While that technique is unsafe, it gave me the idea that the lip of the tub could support a person's weight. I see how difficult lives can be for Veterans with disabilities and I drive myself to develop new products/techniques to make their lives easier.

Randall Wesley
Occupational Therapist
Jesse Brown VA Medical Center","Randall Wesley
Occupational Therapist, Jesse Brown VA Medical Center",hinged-bathtub-bench,,
Self-Leveling Walker (SLW),Spark-Seed-Spread & Technology Transfer,FACILITY USE,"The Self-Leveling Walker addresses the limitations of conventional walking aids and the lack of options for teaching efficient stair ascent/descent maneuvers for patients in rehabilitation recovering from an injury. This product helps fulfill an unmet market need giving patients increased independence to safely negotiate stairs and inclines while also minimizing the cost of home adaptations and extended stays in rehabilitation settings for training.

The walker's front and rear legs are coupled such that the front legs shorten, and the rear legs lengthen by the same amount when a pair of hand levers are held down by the user. When the levers are released, the legs are locked in the new configuration for continued stair or ramp ascent/descent until re-adjusted at the end of the staircase or incline. In the default state where the legs are level and locked, the device performs exactly like a standard walker on level surfaces, making it the only walker a user will ever need regardless of the environment.",GKG-4746,Coming soon!,AliMed,https://www.alimed.com/,05-600-7248,This product was just licensed and is expected to ramp-up product in 2024.,"""This innovation capitalized on the contributions of institutional investments by the Rehabilitation R&D Service, the VA Technology Transfer Program, the Case-Coulter Translational Research Program, and VHA Innovators Network to deliver something that can profoundly and positively impact the mobility of disabled Veterans and enable them to independently negotiate architectural barriers and take full advantage of life opportunities at home and in the community. And all without costly home modifications! I'm most proud that it's been patented and licensed and poised to be disseminated commercially within and outside the VA so that Veterans and all Americans can benefit.""

Ronald Triolo
Health Research Scientist
VA Northeast Ohio Healthcare System

""As a physical therapist the Self-Leveling Walker solves a lot of issues for so many of our Veterans. Stairs are always a challenge and so many people do not have the necessary handrails to safely negotiate stairs. The SLW provides an easy, safe solution. This will allow our Veterans to go home sooner and not require expensive home modifications. Working with the engineering team to come up with a solution was very satisfying.""

Lisa Lombardo
Physical Therapist
VA Northeast Ohio Healthcare System","Ronald Triolo
Health Research Scientist, VA Northeast Ohio Healthcare System

Lisa Lombardo
Physical Therapist, VA Northeast Ohio Healthcare System",self-leveling-walker-slw,,
